"","principal_eigenvalue","asymmetry","peakedness","eigengap.modalities","Summary_tree","Model"
"267",9087.36631436286,0.26967524988425,4.13784147508044,406,"MCC","Population Null"
"268",1786.37629707092,0.999006412471874,2.55723935917143,129,"MRC","Population Null"
"269",9073.59312400153,-0.030544289060957,2.04129537788656,457,"MCC","Null"
"270",6621.11498312805,-0.19667166420404,1.93806687225533,1,"MRC","Null"
"271",9085.23241482948,0.269690663097578,4.16256580652027,1,"MCC","Population Null"
"272",1787.4850282714,0.999154303821704,2.55779430834233,129,"MRC","Population Null"
"273",8975.2118974601,-0.0305183376808463,2.0347612316856,1,"MCC","Null"
"274",6631.78230323127,-0.19030147958634,1.92317884741421,1,"MRC","Null"
"275",9083.24090876091,0.269554601025883,4.15551162711711,1,"MCC","Population Null"
"276",1780.14877157306,1.01024743538049,2.54181290775509,128,"MRC","Population Null"
"277",9063.874364824,-0.0351696020622043,2.05044159288146,1,"MCC","Null"
"278",6612.97171405582,-0.201201520236742,1.94703929024832,1,"MRC","Null"
"279",9088.22805295843,0.270000565494981,4.15102806904631,1,"MCC","Population Null"
"280",1780.2294294048,1.0104741264319,2.54189160202574,128,"MRC","Population Null"
"281",9009.45853176004,-0.0317496261579048,2.04846387563338,457,"MCC","Null"
"282",6654.36810935104,-0.185336069382468,1.93161580408134,456,"MRC","Null"
"283",9084.84871466984,0.269505389369429,4.1531894101724,1,"MCC","Population Null"
"284",1785.3317308512,0.998933303732612,2.55644128285999,129,"MRC","Population Null"
"285",9112.48951046616,-0.0261204548419764,2.02629997678773,1,"MCC","Null"
"286",6623.99303930039,-0.199325866259888,1.9488511087334,1,"MRC","Null"
"287",9083.427516512,0.269539200160651,4.14413298113593,406,"MCC","Population Null"
"288",1773.97840653654,1.00718408018564,2.54534000129457,128,"MRC","Population Null"
"289",9142.82467307058,-0.0307461227236595,2.038846306158,1,"MCC","Null"
"290",6655.67582649438,-0.191383071737286,1.95389068609237,1,"MRC","Null"
"291",9080.33947163624,0.268164379555971,4.12361026009069,1,"MCC","Population Null"
"292",1780.23626316506,1.01029327328352,2.54126647967187,128,"MRC","Population Null"
"293",9112.73915912137,-0.0279305826847606,2.03222221375552,1,"MCC","Null"
"294",6650.9223260838,-0.191577084663519,1.93872408301995,1,"MRC","Null"
"295",9084.88672005047,0.269532249986099,4.15069407804324,1,"MCC","Population Null"
"296",1772.00060693402,1.00445675768068,2.55097208233161,128,"MRC","Population Null"
"297",9087.95366365475,-0.0274661172465263,2.0263903476018,1,"MCC","Null"
"298",6650.60585419389,-0.187254935225401,1.93284218201021,1,"MRC","Null"
"299",9082.28124517908,0.269130737698962,4.15416618042907,406,"MCC","Population Null"
"300",1778.8203105528,1.01004220357354,2.54173447214823,128,"MRC","Population Null"
"301",9000.44271867262,-0.0289762745310907,2.02780730549699,457,"MCC","Null"
"302",6638.1085312666,-0.195581221635872,1.94107891960713,1,"MRC","Null"
"303",9083.0219176181,0.26971586774445,4.1641179528843,1,"MCC","Population Null"
"304",1778.62817055164,1.01014743529239,2.5418453306671,128,"MRC","Population Null"
"305",9017.62715555753,-0.0287655117915804,2.03587005377374,457,"MCC","Null"
"306",6666.87014087351,-0.185031153735098,1.94044096767488,456,"MRC","Null"
"307",9085.45777492033,0.270756528333658,4.1670222159699,1,"MCC","Population Null"
"308",1780.15914496069,1.01030313827,2.54164130702546,128,"MRC","Population Null"
"309",8953.63630149993,-0.0321875329733013,2.04853895890227,457,"MCC","Null"
"310",6662.60753130002,-0.186611835090171,1.93859756368874,1,"MRC","Null"
"311",9080.94757339011,0.269644278047697,4.12662756897683,406,"MCC","Population Null"
